# OperatorName = Michael Matus
# Modification = Created as New Dataset
# ModificationDateTime = thu jul 21 11:17:53 2022 Coordinated Universal Time (GMT+0:00)
# Parameters = 
# SampleDescription = MM04 BG20 535341 d=2.0 mm Q50mm
# InstrumentModel = Lambda 1050+
# InstrumentSerialNumber = 1060L2011032
# InstrumentSoftwareRevision = PerkinElmer UV WinLab 7.1.0.68 / 2.02.11 Lambda 900 UV/VIS/NIR, May 23 2018 11:23:04
# _UnknownRecord2375_ID223 = 
# SlitWidth = 3350/servo 1800.8/servo 840.8/1
# LampsUsed = UV/VIS
# InstrumentAccessories = CommonBeamDepol,RBeamAtt,SBeamAtt,uv/vis/nir detector, TDS WB InGaAs Detector
# UvVisSlitMode = Program
# NirSlitMode = Program
# NirSlitWidth = 3350/servo 1800.8/servo 840.8/1
# UvVisIntegrationTime = 3350/0.2 1800.8/0.2 840.8/1
# NirIntegrationTime = 3350/0.2 1800.8/0.2 840.8/1
# NirDetectorGain = 3350/1.00 1800.8/1.00
# _UnknownRecord2375_ID231 = 
# _UnknownRecord2375_ID232 = 
# _UnknownRecord2375_ID233 = 
# _UnknownRecord2375_ID235 = 
# DetectorChangeAt = 1800.8 840.8
# SampleBeamPosition = Front
# CommonBeamDepolarizer = off
# AttenuatorsUsed = S:100 R:0.1
# _UnknownRecord2375_ID243 = 
# _UnknownRecord2375_ID254 = 
# _UnknownRecord2375_ID256 = 
# _UnknownRecord2375_ID257 = 
# _UnknownRecord2375_ID258 = 
# _UnknownRecord2375_ID260 = 
# _UnknownRecord2375_ID261 = 
# _UnknownRecord2375_ID267 = 
# _UnknownRecord2375_ID268 = 
# _UnknownRecord2375_ID269 = 
# _UnknownRecord2375_ID270 = 
# _UnknownRecord2375_ID273 = 
# _UnknownRecord2375_ID274 = 
# _UnknownRecord2D75_ID211 = 0
# _UnknownRecord2D75_ID212 = 0
# _UnknownRecord2D75_ID216 = 1
# _UnknownRecord2D75_ID217 = 1
# _UnknownRecord2D75_ID219 = 0
# _UnknownRecord2D75_ID220 = 0
# _UnknownRecord2D75_ID229 = 0
# _UnknownRecord2D75_ID240 = 100
# _UnknownRecord2D75_ID259 = 0
# _UnknownRecord1C75_ID208 = 0.0
# _UnknownRecord1C75_ID209 = 0.0
# _UnknownRecord1C75_ID215 = 1.0
# _UnknownRecord1C75_ID221 = 0.0
# _UnknownRecord1C75_ID222 = 0.0
# _UnknownRecord1C75_ID234 = 0.0
# MonochromatorChangeAt = 840.8
# LampChangeAt = 319.2
# _UnknownRecord1C75_ID251 = 0.0
# _UnknownRecord1C75_ID252 = 0.0
# _UnknownRecord1C75_ID253 = 0.0
# _UnknownRecord1C75_ID255 = 0.0
# _UnknownRecord1C75_ID262 = 0.0
# _UnknownRecord1C75_ID263 = 0.0
# _UnknownRecord1C75_ID264 = 0.0
# _UnknownRecord1C75_ID265 = 0.0
# _UnknownRecord1C75_ID266 = 0.0
# _UnknownRecord1C75_ID271 = 0.0
# _UnknownRecord1C75_ID272 = 0.0
# _UnknownRecord1C75_ID275 = 0.0
# _UnknownRecord1C75_ID276 = 0.0
# DataSetChecksum = 0
# DataSetDataType = 16
# DataSetName = Sample51.Sample
# DataSetAbscissaRange = 220 1800
# DataSetOrdinateRange = 0 99.8922016481351
# DataSetInterval = -1
# DataSetNumPoints = 1581
# DataSetXAxisLabel = nm
# DataSetXAxisUnitType = 11
# DataSetYAxisLabel = %T
# DataSetYAxisUnitType = 2
# DataSetSamplingMethod = 0
# DataSetFileType = 0
# DataSetAlias = Sample51.Sample
# SourceFile = BG20.mod0.sp
nm,%T
220,3.26937979205049E-05
221,3.21309992254247E-05
222,3.83833301043884E-05
223,3.91398439724609E-05
224,3.79839883261147E-05
225,3.93501837703508E-05
226,3.07901293494661E-05
227,3.25685489642363E-05
228,3.42290115433941E-05
229,3.70716031373673E-05
230,4.07974575276686E-05
231,3.77715014675774E-05
232,3.4345987705546E-05
233,3.09931077255833E-05
234,3.25073805547556E-05
235,3.50013562428372E-05
236,3.76230641855424E-05
237,3.40656104947596E-05
238,2.25668462732211E-05
239,2.30410369736389E-05
240,2.76210247054056E-05
241,3.08571729304202E-05
242,3.18808983653448E-05
243,2.28727365906833E-05
244,2.12858064374684E-05
245,1.97269576981928E-05
246,2.49605881264098E-05
247,2.72541114713774E-05
248,2.45252213174619E-05
249,2.93198544040799E-05
250,3.0994394244465E-05
251,4.65961008416461E-05
252,9.40150550791962E-05
253,0.000320021768182296
254,0.00122161979801472
255,0.00391995380463507
256,0.0105731190224662
257,0.0243865762004573
258,0.0484802016254525
259,0.0820589447792186
260,0.124497920860368
261,0.177692244171034
262,0.253005384746243
263,0.387188972678431
264,0.595263424651801
265,0.866184523613229
266,1.16631125099525
267,1.50455866672988
268,1.88338254960812
269,2.27981393367699
270,2.70861928872165
271,3.20243713359516
272,3.74578133622057
273,4.26441053808718
274,4.85952862350508
275,5.5362059191708
276,6.24590729508057
277,6.96438168692167
278,7.69420488345763
279,8.50899311571376
280,9.29549283492667
281,10.099608375518
282,10.8799220417338
283,11.7964886132643
284,12.7308894117661
285,13.5543816094831
286,14.4093710375808
287,15.2415166551364
288,15.8161048905974
289,16.2517601684083
290,16.09340849371
291,15.4541208062673
292,15.2030091436524
293,15.9231048268385
294,17.2199781946752
295,18.976997669246
296,20.8841921154084
297,22.598341686092
298,23.9077568686459
299,23.4177287293594
300,21.5551483293596
301,19.2421861442951
302,18.7868104771513
303,19.6853748880925
304,21.1154735584864
305,22.4985696652959
306,24.2569309048758
307,27.0791270797795
308,30.2127081927871
309,32.6302038231431
310,34.1163379899528
311,35.5693089760989
312,36.5581988576355
313,37.1485188806796
314,37.640792511986
315,38.8717910018977
316,39.3916609089325
317,40.5911675927445
318,41.7118077012647
319,42.8246206855424
320,43.2374905304429
321,43.3959970498525
322,40.8311050132763
323,37.1902044793321
324,32.9066211286717
325,28.0301202863732
326,23.6006733987887
327,19.9069932381064
328,17.6212666502373
329,16.277272088065
330,15.8076263566374
331,16.0251092850015
332,16.9098295339208
333,18.8687533448786
334,21.3861636150864
335,24.5923709007667
336,28.2031456075287
337,31.8355209908424
338,35.1782911508387
339,37.4464767316942
340,38.0683776707795
341,37.6764604520409
342,37.197889010799
343,37.167906006209
344,36.0192090943555
345,33.8549524635895
346,25.5952135628422
347,11.5901224701577
348,2.99214284726965
349,0.666434127790962
350,0.306864433067247
351,0.29745599510646
352,0.331520192582501
353,0.421144390083645
354,0.510767828851975
355,0.370208828791558
356,0.140859875870258
357,0.0380885098091749
358,0.021663157437235
359,0.074539076848307
360,0.41099101965422
361,1.95914906136635
362,6.65636398396245
363,15.8878200788085
364,28.5426409948953
365,42.3744561984806
366,55.186961044341
367,68.4243159920696
368,78.6710485448363
369,84.7689007510978
370,89.1578386726322
371,90.548162363871
372,90.4372810577746
373,92.4769884142296
374,94.0565125113738
375,92.8528693186313
376,94.2306671532979
377,97.8009695297499
378,99.8922016481351
379,87.0169204586889
380,86.4359339034899
381,86.5897026189885
382,84.9812756868429
383,82.5916061052862
384,81.3442592820722
385,85.6731424941304
386,85.9645070987167
387,87.9819846296712
388,88.1644501099786
389,88.2343117296589
390,89.7515683317951
391,89.3675421409346
392,89.8093722322359
393,90.4471582439088
394,89.3793535268282
395,89.6988014872393
396,90.23505886288
397,89.5791295645345
398,89.6073261338805
399,87.655482886299
400,86.5956918120709
401,84.5943866720443
402,82.1478015176479
403,81.0705358969333
404,82.2113491206198
405,83.829845639705
406,84.6789868689152
407,86.0134715103965
