# OperatorName = Michael Matus
# Modification = Created as New Dataset
# ModificationDateTime = thu jul 21 11:17:53 2022 Coordinated Universal Time (GMT+0:00)
# Parameters = 
# SampleDescription = MM04 BG20 535341 d=2.0 mm Q50mm
# InstrumentModel = Lambda 1050+
# InstrumentSerialNumber = 1060L2011032
# InstrumentSoftwareRevision = PerkinElmer UV WinLab 7.1.0.68 / 2.02.11 Lambda 900 UV/VIS/NIR, May 23 2018 11:23:04
# SlitWidth = 3350/servo 1800.8/servo 840.8/1
# LampsUsed = UV/VIS
# InstrumentAccessories = CommonBeamDepol,RBeamAtt,SBeamAtt,uv/vis/nir detector, TDS WB InGaAs Detector
# UvVisSlitMode = Program
# NirSlitMode = Program
# NirSlitWidth = 3350/servo 1800.8/servo 840.8/1
# UvVisIntegrationTime = 3350/0.2 1800.8/0.2 840.8/1
# NirIntegrationTime = 3350/0.2 1800.8/0.2 840.8/1
# NirDetectorGain = 3350/1.00 1800.8/1.00
# DetectorChangeAt = 1800.8 840.8
# SampleBeamPosition = Front
# CommonBeamDepolarizer = off
# AttenuatorsUsed = S:100 R:0.1
# DataSetChecksum = 0
# DataSetDataType = 16
# DataSetName = C:\Users\Administrator\source\repos\PerkinElmer2CSV\TestData\Sample51.test.sp
# DataSetAbscissaRange = 220 1800
# DataSetOrdinateRange = 0 91.0471616342048
# DataSetInterval = -1
# DataSetNumPoints = 1581
# DataSetXAxisLabel = nm
# DataSetXAxisUnitType = 11
# DataSetYAxisLabel = %T
# DataSetYAxisUnitType = 2
# DataSetSamplingMethod = 0
# DataSetFileType = 0
# DataSetAlias = Sample51.test_2
# SourceFile = BG20.mod2.sp
nm,%T
220,3.26937979205049E-05
221,3.32059326220065E-05
222,3.37046748667015E-05
223,3.41058517464753E-05
224,3.44096468670833E-05
225,3.46410317033918E-05
226,3.47418449010082E-05
227,3.4809643750653E-05
228,3.4835496054854E-05
229,3.47864154254958E-05
230,3.46414539674557E-05
231,3.43133559714659E-05
232,3.38309214319262E-05
233,3.32531236210386E-05
234,3.26379892910405E-05
235,3.19952272531426E-05
236,3.13149170969806E-05
237,3.05818058288543E-05
238,2.98533745695946E-05
239,2.93334835521996E-05
240,2.92175987139097E-05
241,3.05332347839277E-05
242,3.76017935824055E-05
243,6.38551569894173E-05
244,0.00014338208120628
245,0.00034861550216516
246,0.000809908180500158
247,0.0017176597571632
248,0.00331827602198619
249,0.00592131762224976
250,0.0099524098634962
251,0.0161345323694903
252,0.0256202673436696
253,0.0399707215480163
254,0.0609866447253155
255,0.0906800279782901
256,0.131287150913987
257,0.185146017845867
258,0.25467949724669
259,0.342526112373978
260,0.451541592336569
261,0.584454121125829
262,0.744147964348919
263,0.933729071854063
264,1.15586758422825
265,1.41241792898471
266,1.70452296415091
267,2.03335796978827
268,2.39966372976399
269,2.80371955310938
270,3.24554526325117
271,3.72536197272767
272,4.24297422927079
273,4.7971793572955
274,5.38707463676265
275,6.01085569275228
276,6.66474621249206
277,7.34387764742207
278,8.04086275150859
279,8.74532075690053
280,9.44683762410933
281,10.1405375181112
282,10.8258210912983
283,11.5055778369222
284,12.1827637078296
285,12.8599178787904
286,13.5390042645291
287,14.2130325278014
288,14.8665103766771
289,15.4830855320053
290,16.0555796708345
291,16.5935140273841
292,17.1173476227883
293,17.6438176985381
294,18.1791075934819
295,18.7276273101713
296,19.2915319774909
297,19.8691846699795
298,20.4558430032157
299,21.0495066173048
300,21.6684470152643
301,22.3447644731687
302,23.1136009610866
303,23.9884774222387
304,24.9609315278595
305,26.0162053709092
306,27.1444752239492
307,28.3363877452678
308,29.5697120001092
309,30.8182637494855
310,32.0526652845326
311,33.2438311719125
312,34.3532830294566
313,35.3341704559056
314,36.1386348174888
315,36.7254674422551
316,37.0623830767328
317,37.1394484321846
318,36.9460891557565
319,36.4777747463692
320,35.7378087449558
321,34.7492726627203
322,33.5428457094533
323,32.1821045187656
324,30.7428294936679
325,29.3085937615071
326,27.96632873686
327,26.790295341254
328,25.837421672836
329,25.1417283573292
330,24.7214924165925
331,24.5888002171794
332,24.7428072928202
333,25.1666371543162
334,25.7981322629282
335,26.5259844242177
336,27.2296828191462
337,27.8150707921117
338,28.2038315484425
339,28.3245587789784
340,28.1232582524719
341,27.5723994612996
342,26.6649582189415
343,25.3996801907081
344,23.7740230639692
345,21.8038914801134
346,19.5232297218944
347,17.04756412009
348,14.5685604286787
349,12.2205386256221
350,10.0779808317671
351,8.21614218045812
352,6.72592391822973
353,5.70136789885386
354,5.22448222514897
355,5.37269155632311
356,6.21441532064842
357,7.7955372563782
358,10.1386341076869
359,13.2334906143669
360,17.0199539921458
361,21.4257632798167
362,26.4005883677747
363,31.8731164204206
364,37.7313753796701
365,43.8369172380773
366,50.0345488767681
367,56.1138695643918
368,61.8852912623413
369,67.2206230662475
370,72.0364862843777
371,76.2647387593992
372,79.8784101854335
373,82.8963552612465
374,85.3067662715764
375,87.1147456630949
376,88.3769523447556
377,89.1403082163972
378,89.4478192256497
379,89.3584055010046
380,89.1126272553296
381,88.797712075694
382,88.4640970582467
383,88.1657507699421
384,87.9568603236497
385,87.8568394077909
386,87.8142848338872
387,87.8288987568306
388,87.8722531510251
389,87.9286698373399
390,87.9954689219491
391,88.064121723351
392,88.1281277590696
393,88.1338700287507
394,88.0778513429294
395,87.978402833999
396,87.8299025846007
397,87.6193435824695
398,87.3624032286857
399,87.0793326435782
400,86.8003913445522
401,86.5470876473676
402,86.3417345649722
403,86.2119857839221
404,86.1732010061472
405,86.2012453276934
406,86.2687795972439
407,86.3584596670582
408,86.4457890420207
409,86.5082006817806
410,86.5293921955652
411,86.4837177076152
412,86.3691266583871
413,86.1732795462444
414,85.8993511157506
415,85.5479796920815
416,85.0757802219337
417,84.3481467309829
418,83.2671440911243
419,81.8318198295305
420,80.0871118332994
421,78.0691110385332
422,75.7983256490797
423,73.2814421773717
424,70.5208852209974
425,67.4726247947005
426,64.107312234774
427,60.377470088649
428,56.253543226492
429,51.8448879602331
430,47.4770458909499
431,43.3616405777328
432,39.4775707091015
433,35.7523628971175
434,32.1488845621962
435,28.669889297357
436,25.350073236626
437,22.24608065202
438,19.4358611653453
439,16.9881352945373
440,14.963840037118
441,13.3880964196673
442,12.1943833711763
443,11.2462362043443
444,10.4732166536337
445,9.88970947660606
446,9.52236077149327
447,9.37805063745501
448,9.44330485495045
449,9.6869572791227
450,10.0645653421517
451,10.5251186676693
452,11.0204329381367
453,11.5092216718724
454,11.9565118801337
455,12.3356329487293
456,12.6284966647254
457,12.8244295719053
458,12.9188851747787
459,12.9106616153638
460,12.8022336083453
461,12.6019386171164
462,12.3243305512777
463,11.9899703592031
464,11.6216562969718
465,11.2425221470206
466,10.8749264782022
467,10.539871714867
468,10.2527192643049
469,10.0200459358362
470,9.84576507058726
471,9.73848394525463
472,9.71447423813405
473,9.79613142328376
474,10.004758127701
475,10.3568643056297
476,10.8672847992118
477,11.5526863843879
478,12.4276813947952
479,13.5012936924961
480,14.7813373131317
481,16.2798898876709
482,18.0113662984208
483,19.9822187678922
484,22.1778757902011
485,24.5580239582369
486,27.058420108667
487,29.6018263911565
488,32.1061094479662
489,34.4889699621775
490,36.6674918297217
491,38.5650494552416
492,40.1138254310255
493,41.2512193669291
494,41.9271954607206
495,42.1074380755223
496,41.7729455373033
497,40.9294941288348
498,39.6064708612437
499,37.8575441080493
500,35.7499107256457
501,33.3571553184898
502,30.7576828767477
503,28.0299376723624
504,25.2487506383468
505,22.4908087190702
506,19.8252526049717
507,17.3089937572749
