# OperatorName = Michael Matus
# Modification = Created as New Dataset
# ModificationDateTime = thu oct 27 06:07:36 2022 Coordinated Universal Time (GMT+0:00)
# Parameters = 
# SampleDescription = RAL5009, 05674, April 1968
# InstrumentModel = Lambda 1050+
# InstrumentSerialNumber = 1060L2011032
# InstrumentSoftwareRevision = PerkinElmer UV WinLab 7.1.0.68 / 2.02.11 Lambda 900 UV/VIS/NIR, May 23 2018 11:23:04
# SlitWidth = 3350/servo 860.8/1
# LampsUsed = UV/VIS
# InstrumentAccessories = CommonBeamDepol,RBeamAtt,SBeamAtt,150mm sphere / downward view, WB InGaAs Detector
# UvVisSlitMode = Program
# NirSlitMode = 
# UvVisIntegrationTime = 3350/0.2 860.8/0.2
# SampleBeamPosition = Front
# CommonBeamDepolarizer = off
# AttenuatorsUsed = S:100 R:100
# DataSetChecksum = 0
# DataSetDataType = 16
# DataSetName = Sample1.Sample
# DataSetAbscissaRange = 350 850
# DataSetOrdinateRange = 0 53.0131103457593
# DataSetInterval = -1
# DataSetNumPoints = 501
# DataSetXAxisLabel = nm
# DataSetXAxisUnitType = 11
# DataSetYAxisLabel = %R
# DataSetYAxisUnitType = 3
# DataSetSamplingMethod = 0
# DataSetFileType = 0
# DataSetAlias = Sample1.Sample
# SourceFile = Reflection1.sp
nm,%R
350,15.5291831315929
351,15.8787838966805
352,16.2302268761367
353,16.6600952580225
354,17.1530293599668
355,17.5946338336935
356,18.1566160612734
357,18.7332774303934
358,19.3470309335793
359,19.998069033211
360,20.7181910018679
361,21.4742746719011
362,22.2680132720086
363,23.1391376698444
364,23.9909322464865
365,24.8933806495512
366,25.7795057992725
367,26.664243549548
368,27.5418498396039
369,28.3912232321083
370,29.2630808496727
371,29.9856247239304
372,30.7389679174273
373,31.4645834445687
374,32.1243172381213
375,32.7242388386355
376,33.3533687007052
377,33.8678612299053
378,34.3323288977015
379,34.5719544257204
380,35.0818657243823
381,35.4254970712706
382,35.8024985667602
383,36.1469203776842
384,36.456314328933
385,36.7363187373626
386,37.0098986816986
387,37.3008768172686
388,37.593830525192
389,37.8941159855127
390,38.1873703087775
391,38.4741963082344
392,38.8101976386448
393,39.0818323983361
394,39.3859953762468
395,39.6834282814195
396,39.9646777429692
397,40.2625136334783
398,40.5613670887534
399,40.8131828670615
400,41.0937823773046
401,41.3419766958041
402,41.6133686386673
403,41.8458178258291
404,42.0599316714094
405,42.3118280976309
406,42.5320487839561
407,42.7717534029934
408,42.9829264377752
409,43.1723886034674
410,43.3796661798586
411,43.5689764979753
412,43.7540275118665
413,43.8874977319259
414,44.023052426297
415,44.1364569052116
416,44.2821905209213
417,44.4052634288872
418,44.5299716173744
419,44.6547340952058
420,44.8148430071624
421,44.9573767386965
422,45.1232421850548
423,45.3024678651738
424,45.4653164004171
425,45.6398257449202
426,45.7750600563275
427,45.8840078143117
428,45.9620740732828
429,46.080851458776
430,46.17865114516
431,46.302306415977
432,46.4199839854328
433,46.5683127333679
434,46.7426358056506
435,46.9047621623601
436,47.0544806550253
437,47.2006499656957
438,47.3570794840881
439,47.5426412562291
440,47.6876098147416
441,47.8365370167967
442,47.9545339567038
443,48.0428210354243
444,48.1561205916011
445,48.2822709302994
446,48.3933715507733
447,48.4902265430181
448,48.5763884305926
449,48.6572350840181
450,48.731613711065
451,48.8182292387148
452,48.9260698776578
453,49.0236604355483
454,49.0954180925397
455,49.1588321923762
456,49.2269686021652
457,49.3118845311584
458,49.4189604738242
459,49.5100614244557
460,49.5925824287064
461,49.7029590164129
462,49.8028262282137
463,49.8922533146741
464,49.984592131649
465,50.0616070287234
466,50.1124450728194
467,50.1500795185776
468,50.1658901323879
469,50.1580160152314
470,50.1230112819795
471,50.0745635178991
472,50.0440616374095
473,50.0045969145502
474,49.9445515360034
475,49.8821920063956
476,49.8421181207638
477,49.7993853022468
478,49.7515657486107
479,49.7254919542082
480,49.723069206421
481,49.73178587947
482,49.7232603436863
483,49.7195297883518
484,49.7288591090305
485,49.7381181927329
486,49.7398228677761
487,49.7525752632886
488,49.7656041191977
489,49.7724104724025
490,49.7639423992132
491,49.754963618676
492,49.7526439052598
493,49.7526583107512
494,49.7482418770187
495,49.7318784607937
496,49.7211285025343
497,49.7476097621376
498,49.7666666231549
499,49.7893555087465
500,49.8216099260829
501,49.8626322470522
502,49.9271687011947
503,49.9923423409831
