# OperatorName = Michael Matus
# Modification = Created as New Dataset
# ModificationDateTime = thu oct 27 11:49:39 2022 Coordinated Universal Time (GMT+0:00)
# Parameters = 
# SampleDescription = 
# InstrumentModel = Lambda 1050+
# InstrumentSerialNumber = 1060L2011032
# InstrumentSoftwareRevision = PerkinElmer UV WinLab 7.1.0.68 / 2.02.11 Lambda 900 UV/VIS/NIR, May 23 2018 11:23:04
# _UnknownRecord2375_ID223 = 
# SlitWidth = 3350/servo 860.8/1
# LampsUsed = UV/VIS
# InstrumentAccessories = CommonBeamDepol,RBeamAtt,SBeamAtt,150mm sphere / downward view, WB InGaAs Detector
# UvVisSlitMode = Program
# NirSlitMode = Program
# NirSlitWidth = 3350/servo 860.8/1
# UvVisIntegrationTime = 3350/1 860.8/1
# NirIntegrationTime = 3350/1 860.8/1
# NirDetectorGain = 14.00
# _UnknownRecord2375_ID231 = 
# _UnknownRecord2375_ID232 = 
# _UnknownRecord2375_ID233 = 
# _UnknownRecord2375_ID235 = 
# SampleBeamPosition = Front
# CommonBeamDepolarizer = off
# AttenuatorsUsed = S:100 R:100
# _UnknownRecord2375_ID243 = 
# _UnknownRecord2375_ID254 = 
# _UnknownRecord2375_ID256 = 
# _UnknownRecord2375_ID257 = 
# _UnknownRecord2375_ID258 = 
# _UnknownRecord2375_ID260 = 
# _UnknownRecord2375_ID261 = 
# _UnknownRecord2375_ID267 = 
# _UnknownRecord2375_ID268 = 
# _UnknownRecord2375_ID269 = 
# _UnknownRecord2375_ID270 = 
# _UnknownRecord2375_ID273 = 
# _UnknownRecord2375_ID274 = 
# _UnknownRecord2D75_ID211 = 0
# _UnknownRecord2D75_ID212 = 0
# _UnknownRecord2D75_ID216 = 1
# _UnknownRecord2D75_ID217 = 1
# _UnknownRecord2D75_ID219 = 0
# _UnknownRecord2D75_ID220 = 0
# _UnknownRecord2D75_ID229 = 0
# _UnknownRecord2D75_ID240 = 100
# _UnknownRecord2D75_ID259 = 0
# DataSetChecksum = 0
# DataSetDataType = 16
# DataSetName = Sample4.Blank
# DataSetAbscissaRange = 300 900
# DataSetOrdinateRange = 0 99.137823761705
# DataSetInterval = -1
# DataSetNumPoints = 601
# DataSetXAxisLabel = nm
# DataSetXAxisUnitType = 11
# DataSetYAxisLabel = %R
# DataSetYAxisUnitType = 3
# DataSetSamplingMethod = 0
# DataSetFileType = 0
# DataSetAlias = Sample4.Blank
# SourceFile = ReflectionBlank.sp
nm,%R
300,98.704960673756
301,98.7286160873343
302,98.7273737775427
303,98.7451526972354
304,98.732963971577
305,98.7286871568101
306,98.7426854529281
307,98.7296679460568
308,98.7147424447912
309,98.7366683559098
310,98.7663111916561
311,98.7411992735625
312,98.7372753426688
313,98.7780877549767
314,98.7744945521263
315,98.7933631497153
316,98.823060015397
317,98.80995311904
318,98.7693841588522
319,98.8320721857675
320,98.870905814486
321,98.8373505571904
322,98.8314293986752
323,98.8349834962744
324,98.842621112487
325,98.8362930234771
326,98.8178922164293
327,98.8644599866087
328,98.8827018460972
329,98.8814350928992
330,98.8666184753272
331,98.8656039945867
332,98.867278982795
333,98.8569675872723
334,98.8685948070676
335,98.8880598955591
336,98.8995231370797
337,98.9157122573351
338,98.9274209958876
339,98.9872747088859
340,98.9813684385578
341,98.9196466568288
342,98.9258933427097
343,98.9559622982306
344,98.9780399605691
345,98.9804523583738
346,98.9689035262337
347,98.9990468156848
348,99.0247107315144
349,99.0336500051265
350,98.9872691047215
351,98.9821415888467
352,99.0309033908848
353,99.0288280702042
354,99.0496975530973
355,99.0122757477505
356,98.9783706459577
357,99.013424276354
358,99.0388480972894
359,99.010414870561
360,99.0378792748808
361,99.0113138443426
362,99.0335502490394
363,98.9980068545038
364,99.036075525243
365,99.0141613035018
366,98.9975635772616
367,99.0479546090466
368,99.034533826628
369,99.0400459423691
370,99.0315254361966
371,99.0360533115013
372,99.0854351345297
373,99.042658632357
374,99.0092115186419
375,99.0789267207384
376,99.0487410968496
377,99.0549791643641
378,99.048034063091
379,99.0650779289356
380,99.0767973282051
381,99.0652891603745
382,99.0595816592025
383,99.0685474494781
384,99.0731703584511
385,99.0887846613258
386,99.083322079227
387,99.0778515903899
388,99.0645039336276
389,99.0966246561768
390,99.0854083891118
391,99.1072866018573
392,99.131222650017
393,99.0859169604629
394,99.1243213024188
395,99.0911542200575
396,99.0735932740683
397,99.0888922750011
398,99.0991023070089
399,99.1113804102196
400,99.0895510139826
401,99.1193005131628
402,99.1184012075698
403,99.1046688232161
404,99.118997723435
405,99.0880633450471
406,99.0838629305226
407,99.1029566586811
408,99.1088851343449
409,99.1190989064639
410,99.0647560740337
411,99.0939810263361
412,99.1106199202122
413,99.0992522895661
414,99.1350149819608
415,99.1193596513541
416,99.137823761705
417,99.1355268914058
418,99.1011478237832
419,99.1074140791506
420,99.1256396776659
421,99.0943035882377
422,99.1129421962519
423,99.1188015770448
424,99.1124532080967
425,99.1268160540194
426,99.0980955135375
427,99.1212094176596
428,99.1203849397312
429,99.1251766891488
430,99.0950397175035
431,99.087606846524
432,99.1116408376751
433,99.1119718817751
434,99.1001589435956
435,99.1207366065587
436,99.0957792974278
437,99.1236343657922
438,99.1236384482797
439,99.1162812842332
440,99.1163653554832
441,99.1174449503003
442,99.1241478717968
443,99.1348286634887
444,99.1345148110806
445,99.1022294586043
446,99.1149069616158
447,99.1236940073695
448,99.1014855352159
449,99.101983152787
450,99.126858948591
451,99.1106911175546
452,99.1095316027305
453,99.1174978776595
454,99.1183311434003
455,99.1240592881499
456,99.1230667941659
457,99.1109485481073
458,99.1147667508988
459,99.110947621599
460,99.1194955179027
461,99.1206546808557
462,99.1256302883211
463,99.1143439058914
464,99.1054669833603
465,99.0883868019095
466,99.1063770809784
467,99.100242376645
468,99.1106026523605
469,99.1193886242387
470,99.1129221159722
471,99.1321548725591
472,99.1122599925008
473,99.1036399730775
474,99.1125087381154
475,99.118560589065
476,99.1199687472819
477,99.1164026222446
478,99.1036396133201
479,99.0944426187421
480,99.0995793925282
481,99.1182299374984
482,99.1097800488693
483,99.1092883810196
484,99.1053090171032
485,99.1086390130423
486,99.1263673904147
487,99.110980641204
488,99.0932482723352
489,99.1152427815271
490,99.1049117864864
491,99.0981592217379
492,99.1115897538254
493,99.1086733416883
494,99.1277136100311
495,99.1224607764285
496,99.1171202865027
497,99.1218040073209
498,99.1154556573244
499,99.1242365732346
500,99.1313449652748
501,99.1347674518307
502,99.1263184591211
503,99.1192928937624
504,99.117030480149
505,99.1127655820942
506,99.1088373680264
507,99.1094158546023
508,99.1084102869514
509,99.1116531262062
510,99.1124776958025
511,99.1224494047326
512,99.1195255311082
513,99.1133672886544
514,99.1198359709992
515,99.1100339797497
516,99.1081219860731
517,99.1157478039188
518,99.1111010614909
519,99.103722599571
520,99.1022306006229
521,99.1129179656309
522,99.1170597716605
523,99.1061236142232
524,99.1092722814732
525,99.1111786476492
526,99.1018993601376
527,99.1046343087265
528,99.1052979882965
529,99.1038898593707
530,99.1140067490835
531,99.108452478296
532,99.09941311284
533,99.1040586794443
534,99.1096191729893
535,99.1076290267919
536,99.1088757384948
537,99.1114513314588
538,99.1090451165275
539,99.1043126170143
540,99.1115410427381
541,99.1191873116082
542,99.1061428274819
543,99.1083875872789
544,99.1195271529759
545,99.1058954885501
546,99.1020721347529
547,99.1109701037645
548,99.1075614411244
549,99.1129698629263
550,99.1223730532611
551,99.1122232709435
552,99.1066494805214
553,99.1078154624906
554,99.1049868195367
555,99.1074836091454
556,99.1088990342553
557,99.1038224702077
558,99.1016584712411
559,99.1083180506131
560,99.1121491892528
561,99.1107341044581
562,99.1056549450358
563,99.1056576429644
564,99.1059930192714
565,99.1038266842921
566,99.0995770909584
567,99.1051599202832
568,99.1171596351482
569,99.1191606935498
570,99.1082431294585
571,99.0877453544726
572,99.1059103620897
573,99.0978271958971
574,99.0988271294067
575,99.0964105383638
576,99.0907439707929
577,99.1056608629049
578,99.1204116931721
579,99.099327078365
580,99.1064935195028
581,99.1062440574999
582,99.0984103418933
583,99.0953273454473
584,99.1073268104596
585,99.1174108399849
586,99.1089940154812
587,99.1144939608876
588,99.1048261407199
589,99.1164910550264
590,99.1138251772596
591,99.1015935897828
592,99.1117086726889
593,99.1340247872069
594,99.115808354656
595,99.1051589126954
596,99.096622814141
597,99.0819658168454
598,99.0333529358725
599,99.0025515544929
600,99.0071562911256
601,98.9956813090569
602,98.9853980610756
603,98.9899607182495
604,99.0027266212718
605,99.0096500198227
606,99.0051575372732
607,99.0118112133735
608,99.0037434844004
609,99.0038263978709
610,99.0088151303552
611,99.014635038702
612,99.0113082555758
613,99.000915487208
614,99.0014972230911
615,98.9937674660598
616,98.9844607742749
617,99.0093091752708
618,99.0053195579277
619,99.0121306595699
620,99.031494472462
621,99.0040717867112
622,99.0204342875401
623,99.0006653068549
624,99.0053159396202
625,98.9996688082887
626,98.9921142405086
627,98.9868853252229
628,99.0044006401122
629,99.0196736045781
630,99.0094618598363
631,99.0186723234987
632,98.9931151917245
633,99.019162902447
634,98.9877259677353
635,99.0212342512146
636,99.0212320633517
637,99.0183258264796
638,98.9995035762053
639,99.0101126360382
640,99.019395524453
641,99.0243664106463
642,99.0014923792471
643,98.989978371602
644,98.9928769351037
645,99.0059637714475
646,98.9822842106548
647,99.011591501385
648,98.9999181715936
649,99.0119196896808
650,98.9977665736243
651,99.0108397326882
652,99.0253208797989
653,98.9906539332342
654,98.9883408482627
655,99.013893404257
656,99.0177755583324
657,99.0053739175732
658,98.9973567405359
