# OperatorName = Michael Matus
# Modification = Created as New Dataset
# ModificationDateTime = thu oct 27 06:07:36 2022 Coordinated Universal Time (GMT+0:00)
# Parameters = 
# SampleDescription = RAL5009, 05674, April 1968
# InstrumentModel = Lambda 1050+
# InstrumentSerialNumber = 1060L2011032
# InstrumentSoftwareRevision = PerkinElmer UV WinLab 7.1.0.68 / 2.02.11 Lambda 900 UV/VIS/NIR, May 23 2018 11:23:04
# SlitWidth = 3350/servo 860.8/1
# LampsUsed = UV/VIS
# InstrumentAccessories = CommonBeamDepol,RBeamAtt,SBeamAtt,150mm sphere / downward view, WB InGaAs Detector
# UvVisSlitMode = Program
# NirSlitMode = 
# UvVisIntegrationTime = 3350/0.2 860.8/0.2
# SampleBeamPosition = Front
# CommonBeamDepolarizer = off
# AttenuatorsUsed = S:100 R:100
# DataSetChecksum = 0
# DataSetDataType = 16
# DataSetName = Sample1.Sample
# DataSetAbscissaRange = 350 850
# DataSetOrdinateRange = 0 53.013110345759316
# DataSetInterval = -1
# DataSetNumPoints = 501
# DataSetXAxisLabel = nm
# DataSetXAxisUnitType = 11
# DataSetYAxisLabel = %R
# DataSetYAxisUnitType = 3
# DataSetSamplingMethod = 0
# DataSetFileType = 0
# DataSetAlias = Sample1.Sample
nm,%R
350,15.529183131592866
351,15.87878389668047
352,16.230226876136744
353,16.660095258022505
354,17.153029359966762
355,17.594633833693493
356,18.15661606127339
357,18.733277430393425
358,19.34703093357929
359,19.998069033211014
360,20.71819100186788
361,21.47427467190107
362,22.268013272008627
363,23.139137669844395
364,23.990932246486523
365,24.893380649551176
366,25.7795057992725
367,26.664243549547972
368,27.541849839603906
369,28.391223232108263
370,29.263080849672736
371,29.98562472393035
372,30.738967917427257
373,31.46458344456868
374,32.124317238121336
375,32.72423883863546
376,33.35336870070519
377,33.86786122990533
378,34.332328897701515
379,34.5719544257204
380,35.0818657243823
381,35.42549707127063
382,35.802498566760164
383,36.1469203776842
384,36.45631432893296
385,36.73631873736258
386,37.009898681698566
387,37.30087681726855
388,37.593830525192004
389,37.89411598551273
390,38.187370308777496
391,38.47419630823437
392,38.81019763864478
393,39.08183239833608
394,39.38599537624679
395,39.68342828141946
396,39.96467774296921
397,40.26251363347825
398,40.56136708875338
399,40.813182867061464
400,41.093782377304606
401,41.34197669580407
402,41.61336863866726
403,41.845817825829066
404,42.05993167140939
405,42.311828097630936
406,42.53204878395615
407,42.771753402993355
408,42.98292643777525
409,43.17238860346743
410,43.37966617985859
411,43.56897649797531
412,43.754027511866525
413,43.887497731925876
414,44.02305242629704
415,44.136456905211645
416,44.28219052092132
417,44.40526342888722
418,44.52997161737441
419,44.65473409520584
420,44.81484300716236
421,44.95737673869649
422,45.12324218505475
423,45.30246786517375
424,45.465316400417144
425,45.63982574492016
426,45.77506005632755
427,45.884007814311744
428,45.96207407328285
429,46.080851458776046
430,46.178651145160046
431,46.302306415976965
432,46.4199839854328
433,46.5683127333679
434,46.74263580565063
435,46.904762162360115
436,47.054480655025266
437,47.20064996569565
438,47.357079484088146
439,47.542641256229054
440,47.68760981474157
441,47.83653701679669
442,47.95453395670376
443,48.042821035424296
444,48.15612059160105
445,48.28227093029938
446,48.39337155077325
447,48.49022654301807
448,48.57638843059259
449,48.65723508401807
450,48.73161371106495
451,48.81822923871482
452,48.92606987765784
453,49.023660435548294
454,49.09541809253973
455,49.15883219237619
456,49.22696860216519
457,49.3118845311584
458,49.4189604738242
459,49.51006142445575
460,49.59258242870639
461,49.70295901641291
462,49.80282622821371
463,49.892253314674065
464,49.984592131648995
465,50.06160702872337
466,50.112445072819376
467,50.150079518577606
468,50.16589013238788
469,50.15801601523139
470,50.123011281979544
471,50.074563517899094
472,50.044061637409484
473,50.004596914550234
474,49.94455153600335
475,49.88219200639564
476,49.84211812076382
477,49.799385302246804
478,49.751565748610716
479,49.725491954208245
480,49.72306920642104
481,49.73178587947003
482,49.72326034368628
483,49.719529788351764
484,49.72885910903049
485,49.73811819273287
486,49.739822867776134
487,49.75257526328858
488,49.76560411919767
489,49.77241047240253
490,49.763942399213235
491,49.75496361867597
492,49.75264390525978
493,49.752658310751244
494,49.748241877018714
495,49.73187846079366
496,49.72112850253427
497,49.747609762137586
498,49.766666623154904
499,49.7893555087465
500,49.82160992608287
501,49.86263224705219
502,49.927168701194674
503,49.99234234098311
504,50.05570440572665
505,50.14012001867901
506,50.213016657388046
507,50.26442012452412
508,50.299060574371744
509,50.321502108874064
510,50.325473769573605
511,50.29551528681767
512,50.23773650926031
513,50.16105962369002
514,50.051084761126006
515,49.92162597877028
516,49.79355091219785
517,49.65417974403641
518,49.512346581036006
519,49.36535135407726
520,49.21050826421598
521,49.07473827405312
522,48.935250519290626
523,48.81553040251792
524,48.69327008861093
525,48.574372278244724
526,48.4756385882246
527,48.38028121589835
528,48.287669769462724
529,48.215672017047304
530,48.14635523487437
531,48.0706701570052
532,48.00646818405813
533,47.94284294526531
534,47.884692824552666
535,47.8174835448241
536,47.77695686050987
537,47.737208806736845
538,47.69322191464151
539,47.652012067446805
540,47.57662864700793
541,47.52142398385109
542,47.48329602998853
543,47.43806084876874
544,47.39245691880763
545,47.35914199736671
546,47.299966110811575
547,47.26652206662187
548,47.2012244460301
549,47.14860796725439
550,47.09777545613277
551,47.0417481863896
552,47.01066146375366
553,46.957616062346666
554,46.9032566107012
555,46.8737335989766
556,46.830179500627914
557,46.78063891342214
558,46.75666548127268
559,46.714570915461664
560,46.674901289488815
561,46.65113933587758
562,46.58426988715715
563,46.65919910250176
564,46.64660054906308
565,46.635536225849705
566,46.62014469806981
567,46.6176501718166
568,46.58711715890222
569,46.59359329858044
570,46.58844359213686
571,46.575653929821506
572,46.56365098457656
573,46.57992735692177
574,46.55329755983937
575,46.56926143073423
576,46.59414676351189
577,46.58875799037603
578,46.59042494510406
579,46.60124567239428
580,46.585225020855034
581,46.59405779725487
582,46.58123907632967
583,46.61452309801651
584,46.60663233286933
585,46.62856062242457
586,46.624811317139674
587,46.64560672906047
588,46.670870123290946
589,46.65996681542563
590,46.69321059190465
591,46.685543819967776
592,46.69488330309706
593,46.72006180686208
594,46.706612162808945
595,46.73974355150464
596,46.7229337178286
597,46.72502792347654
598,46.70253983555742
599,46.70894658884271
600,46.69864588867177
601,46.721017888420874
602,46.69099953684081
603,46.70917681394812
604,46.73123868665093
605,46.74206083470542
606,46.719240805594545
607,46.75683555203664
608,46.748988610678396
609,46.74314639579036
610,46.739637384977776
611,46.77643178949532
612,46.75799225352982
613,46.76135909641114
614,46.81178489402555
615,46.80362286844406
616,46.815340630154296
617,46.82343086057327
618,46.841122605486206
619,46.83429410548796
620,46.83040333081062
621,46.85268650105602
622,46.8768426098125
623,46.86864084008131
624,46.91270632972562
625,46.91564242502398
626,46.89824171680213
627,46.92164194263536
628,46.93325386815643
629,46.94567326305917
630,46.94315749458261
631,46.97793788214019
632,46.973069107184955
633,46.97856251863514
634,46.97092023531747
635,47.02281511588119
636,47.01473779761108
637,47.0197446550374
638,47.019339227275395
639,47.03259104738524
640,47.053229870952215
641,47.05355215455182
642,47.0698098496517
643,47.08597538638013
644,47.11066177431945
645,47.098541460594674
646,47.094122714843266
647,47.10721656931873
648,47.150867273273626
649,47.151042887166064
650,47.15051003778599
651,47.16989956989685
652,47.18631420470902
653,47.18833913793454
654,47.235033981223324
655,47.23798147322368
656,47.25020149145142
657,47.25310730269625
658,47.29275711663213
659,47.29239567099955
660,47.289074348545626
661,47.296496668837904
662,47.31307106181701
663,47.319276232858556
664,47.33003127734043
665,47.335825389725166
666,47.33262949761361
667,47.335910998695475
668,47.34154145745727
669,47.35421100220717
670,47.3669202426792
671,47.355015292376684
672,47.357630497016416
673,47.366536737983466
674,47.35486756260095
675,47.36152771184101
676,47.37051846081796
677,47.35820182895543
678,47.35798461067155
679,47.36369726974248
680,47.34844894116105
681,47.33475016813441
682,47.338047379813716
683,47.344295365763465
684,47.326282244903965
685,47.32093602275799
686,47.36390288233146
687,47.351153635934345
688,47.33715095141794
689,47.34612065935421
690,47.28946203245578
691,47.21852086437598
692,47.22158106595389
693,47.22866084516245
694,47.21896002173505
695,47.2240747911698
696,47.213599728316616
697,47.219635893910194
698,47.20992815318431
699,47.21400633262212
700,47.206702074934825
701,47.19886966893774
702,47.197622565016644
703,47.20188691988969
704,47.18210464333278
705,47.164974941676476
706,47.18519847605623
707,47.20754944604884
708,47.21096919316497
709,47.224587257837214
710,47.228977963713426
711,47.23083921249649
712,47.226497173914865
713,47.23813309676758
714,47.236377335813785
715,47.248728520814645
716,47.28125130374958
717,47.27885443558069
718,47.26744406429155
719,47.28276441303025
720,47.308940680954514
721,47.32626040284697
722,47.32978968094461
723,47.358557000346224
724,47.412747714888326
725,47.41683542556531
726,47.42378402533092
727,47.46606060936983
728,47.48412298814701
729,47.471536793583994
730,47.50513998479548
731,47.553244064179644
732,47.60226067729959
733,47.628617486958035
734,47.60722528499777
735,47.63208127015811
736,47.70244487347917
737,47.777333333160605
738,47.792675060826454
739,47.8338223550554
740,47.89430835112068
741,47.94730547650521
742,48.00483004675271
743,48.07004657602072
744,48.172509305618675
745,48.25572100804935
746,48.354469799517204
747,48.43402681669995
748,48.52083187167874
749,48.64742803886189
750,48.76205672698708
751,48.838077640915316
752,48.95482039083257
753,49.08284119844052
754,49.1976139306481
755,49.30635902951697
756,49.4483653435868
757,49.59709938754
758,49.75180873616137
759,49.90462827593571
760,50.0408926303581
761,50.156003660229956
762,50.2921106605542
763,50.44353705536787
764,50.567952702859856
765,50.668456963372535
766,50.74937803750416
767,50.8092607785702
768,50.921982453549994
769,51.028007890828206
770,51.119006087505255
771,51.20650557537143
772,51.254813570847645
773,51.309648576293846
774,51.407386195565195
775,51.481474152335785
776,51.54917948718174
777,51.58068524680884
778,51.625315883694725
779,51.65769331165203
780,51.71436301063089
781,51.7735457261024
782,51.81257002080508
783,51.84540767001462
784,51.84491983906773
785,51.92717522126012
786,51.93910540430413
787,51.96271053205046
788,52.018571968225615
789,52.07509597274643
790,52.0620288403988
791,52.07074988095125
792,52.09168507638734
793,52.10286702949614
794,52.13826949804269
795,52.1563025732905
796,52.212288996018216
797,52.22192192288995
798,52.237969397834036
799,52.25605392165795
800,52.31314249208151
801,52.32958109630337
802,52.314898130929244
803,52.39902996454523
804,52.38555326208696
805,52.361053749179675
