# OperatorName = Michael Matus
# Modification = Created as New Dataset
# ModificationDateTime = thu oct 27 11:49:39 2022 Coordinated Universal Time (GMT+0:00)
# Parameters = 
# SampleDescription = 
# InstrumentModel = Lambda 1050+
# InstrumentSerialNumber = 1060L2011032
# InstrumentSoftwareRevision = PerkinElmer UV WinLab 7.1.0.68 / 2.02.11 Lambda 900 UV/VIS/NIR, May 23 2018 11:23:04
# SlitWidth = 3350/servo 860.8/1
# LampsUsed = UV/VIS
# InstrumentAccessories = CommonBeamDepol,RBeamAtt,SBeamAtt,150mm sphere / downward view, WB InGaAs Detector
# UvVisSlitMode = Program
# NirSlitMode = Program
# NirSlitWidth = 3350/servo 860.8/1
# UvVisIntegrationTime = 3350/1 860.8/1
# NirIntegrationTime = 3350/1 860.8/1
# NirDetectorGain = 14.00
# SampleBeamPosition = Front
# CommonBeamDepolarizer = off
# AttenuatorsUsed = S:100 R:100
# DataSetChecksum = 0
# DataSetDataType = 16
# DataSetName = Sample4.Blank
# DataSetAbscissaRange = 300 900
# DataSetOrdinateRange = 0 99.13782376170501
# DataSetInterval = -1
# DataSetNumPoints = 601
# DataSetXAxisLabel = nm
# DataSetXAxisUnitType = 11
# DataSetYAxisLabel = %R
# DataSetYAxisUnitType = 3
# DataSetSamplingMethod = 0
# DataSetFileType = 0
# DataSetAlias = Sample4.Blank
nm,%R
300,98.70496067375603
301,98.72861608733432
302,98.72737377754272
303,98.74515269723544
304,98.73296397157702
305,98.72868715681011
306,98.74268545292809
307,98.72966794605678
308,98.71474244479124
309,98.73666835590981
310,98.76631119165614
311,98.74119927356254
312,98.73727534266882
313,98.77808775497671
314,98.77449455212627
315,98.79336314971532
316,98.82306001539703
317,98.80995311903997
318,98.76938415885218
319,98.8320721857675
320,98.870905814486
321,98.83735055719036
322,98.83142939867524
323,98.83498349627439
324,98.84262111248698
325,98.83629302347708
326,98.81789221642929
327,98.8644599866087
328,98.88270184609716
329,98.88143509289917
330,98.86661847532717
331,98.86560399458672
332,98.86727898279497
333,98.85696758727231
334,98.86859480706762
335,98.88805989555905
336,98.8995231370797
337,98.91571225733506
338,98.9274209958876
339,98.98727470888592
340,98.98136843855784
341,98.91964665682879
342,98.92589334270974
343,98.95596229823059
344,98.97803996056908
345,98.98045235837381
346,98.96890352623375
347,98.99904681568485
348,99.02471073151443
349,99.03365000512653
350,98.98726910472149
351,98.98214158884669
352,99.03090339088479
353,99.02882807020418
354,99.04969755309727
355,99.01227574775046
356,98.97837064595774
357,99.01342427635402
358,99.03884809728939
359,99.01041487056096
360,99.03787927488084
361,99.01131384434264
362,99.03355024903935
363,98.99800685450383
364,99.03607552524304
365,99.01416130350181
366,98.99756357726164
367,99.04795460904661
368,99.03453382662802
369,99.04004594236906
370,99.03152543619665
371,99.03605331150129
372,99.0854351345297
373,99.04265863235699
374,99.00921151864188
375,99.07892672073835
376,99.04874109684961
377,99.05497916436408
378,99.04803406309102
379,99.0650779289356
380,99.07679732820512
381,99.06528916037452
382,99.0595816592025
383,99.06854744947809
384,99.0731703584511
385,99.08878466132582
386,99.083322079227
387,99.07785159038986
388,99.06450393362763
389,99.09662465617681
390,99.08540838911179
391,99.10728660185728
392,99.13122265001698
393,99.0859169604629
394,99.12432130241878
395,99.09115422005752
396,99.07359327406826
397,99.08889227500113
398,99.09910230700886
399,99.11138041021962
400,99.08955101398256
401,99.11930051316278
402,99.11840120756983
403,99.10466882321609
404,99.11899772343502
405,99.08806334504708
406,99.0838629305226
407,99.10295665868111
408,99.10888513434487
409,99.11909890646395
410,99.06475607403368
411,99.09398102633614
412,99.11061992021224
413,99.09925228956607
414,99.13501498196084
415,99.1193596513541
416,99.13782376170501
417,99.1355268914058
418,99.10114782378324
419,99.10741407915057
420,99.12563967766592
421,99.09430358823772
422,99.11294219625188
423,99.11880157704483
424,99.11245320809674
425,99.12681605401937
426,99.09809551353746
427,99.12120941765959
428,99.12038493973118
429,99.1251766891488
430,99.0950397175035
431,99.08760684652403
432,99.1116408376751
433,99.1119718817751
434,99.10015894359564
435,99.12073660655871
436,99.09577929742777
437,99.12363436579216
438,99.12363844827972
439,99.11628128423321
440,99.11636535548315
441,99.11744495030025
442,99.12414787179678
443,99.13482866348872
444,99.13451481108065
445,99.10222945860431
446,99.11490696161582
447,99.12369400736954
448,99.10148553521587
449,99.10198315278704
450,99.126858948591
451,99.11069111755462
452,99.10953160273048
453,99.11749787765955
454,99.11833114340031
455,99.12405928814994
456,99.1230667941659
457,99.11094854810733
458,99.11476675089878
459,99.11094762159895
460,99.11949551790275
461,99.12065468085571
462,99.12563028832115
463,99.11434390589139
464,99.1054669833603
465,99.08838680190945
466,99.10637708097839
467,99.10024237664499
468,99.11060265236048
469,99.1193886242387
470,99.11292211597218
471,99.13215487255907
472,99.11225999250075
473,99.10363997307755
474,99.1125087381154
475,99.11856058906504
476,99.1199687472819
477,99.11640262224458
478,99.10363961332006
479,99.0944426187421
480,99.09957939252824
481,99.11822993749844
482,99.1097800488693
483,99.1092883810196
484,99.1053090171032
485,99.10863901304229
486,99.12636739041469
487,99.11098064120395
488,99.09324827233522
489,99.11524278152709
490,99.10491178648635
491,99.09815922173792
492,99.11158975382537
493,99.10867334168834
494,99.12771361003112
495,99.12246077642848
496,99.1171202865027
497,99.12180400732093
498,99.11545565732445
499,99.12423657323464
500,99.13134496527482
501,99.1347674518307
502,99.12631845912108
503,99.11929289376239
504,99.11703048014898
505,99.11276558209418
506,99.10883736802644
507,99.10941585460232
508,99.1084102869514
509,99.11165312620619
510,99.11247769580251
511,99.12244940473263
512,99.1195255311082
513,99.11336728865443
514,99.11983597099919
515,99.11003397974967
516,99.10812198607314
517,99.11574780391882
518,99.11110106149087
519,99.10372259957096
520,99.10223060062293
521,99.11291796563091
522,99.11705977166052
523,99.10612361422321
524,99.10927228147321
525,99.11117864764924
526,99.10189936013757
527,99.10463430872652
528,99.10529798829654
529,99.10388985937071
530,99.1140067490835
531,99.10845247829602
532,99.09941311284004
533,99.10405867944432
534,99.10961917298934
535,99.10762902679188
536,99.10887573849479
537,99.11145133145884
538,99.10904511652745
539,99.10431261701429
540,99.11154104273814
541,99.11918731160821
542,99.10614282748192
543,99.10838758727887
544,99.11952715297589
545,99.10589548855012
546,99.1020721347529
547,99.11097010376452
548,99.1075614411244
549,99.11296986292633
550,99.12237305326107
551,99.11222327094352
552,99.10664948052141
553,99.10781546249056
554,99.1049868195367
555,99.10748360914539
556,99.10889903425534
557,99.1038224702077
558,99.1016584712411
559,99.1083180506131
560,99.11214918925279
561,99.11073410445807
562,99.10565494503575
563,99.1056576429644
564,99.10599301927137
565,99.10382668429209
566,99.09957709095843
567,99.1051599202832
568,99.11715963514824
569,99.11916069354979
570,99.10824312945846
571,99.08774535447257
572,99.10591036208974
573,99.09782719589708
574,99.0988271294067
575,99.09641053836376
576,99.09074397079294
577,99.1056608629049
578,99.12041169317209
579,99.09932707836495
580,99.10649351950276
581,99.10624405749986
582,99.09841034189333
583,99.09532734544729
584,99.1073268104596
585,99.11741083998494
